Timestamp,RangeSensor,PumpState,Description
1732169481.934214,11.00,True,VIOLATION: Pump ON when range_sensor (11.00) > DESIRED_DISTANCE (10)
1732169482.2360954,12.00,True,VIOLATION: Pump ON when range_sensor (12.00) > DESIRED_DISTANCE (10)
1732169482.5389328,13.00,True,VIOLATION: Pump ON when range_sensor (13.00) > DESIRED_DISTANCE (10)
1732169482.842199,15.00,True,VIOLATION: Pump ON when range_sensor (15.00) > DESIRED_DISTANCE (10)
1732169483.145154,20.00,True,VIOLATION: Pump ON when range_sensor (20.00) > DESIRED_DISTANCE (10)
1732169483.4479358,25.00,True,VIOLATION: Pump ON when range_sensor (25.00) > DESIRED_DISTANCE (10)
1732169483.750081,30.00,True,VIOLATION: Pump ON when range_sensor (30.00) > DESIRED_DISTANCE (10)
1732169484.3557515,10.50,True,VIOLATION: Pump ON when range_sensor (10.50) > DESIRED_DISTANCE (10)
1732169484.9604404,10.20,True,VIOLATION: Pump ON when range_sensor (10.20) > DESIRED_DISTANCE (10)
1732169485.2622082,10.80,True,VIOLATION: Pump ON when range_sensor (10.80) > DESIRED_DISTANCE (10)
1732169485.8669055,15.00,True,VIOLATION: Pump ON when range_sensor (15.00) > DESIRED_DISTANCE (10)
1732169488.0776942,11.00,True,VIOLATION: Pump ON when range_sensor (11.00) > DESIRED_DISTANCE (10)
1732169488.379917,12.00,True,VIOLATION: Pump ON when range_sensor (12.00) > DESIRED_DISTANCE (10)
1732169488.682378,13.00,True,VIOLATION: Pump ON when range_sensor (13.00) > DESIRED_DISTANCE (10)
1732169488.985068,15.00,True,VIOLATION: Pump ON when range_sensor (15.00) > DESIRED_DISTANCE (10)
1732169489.2881644,20.00,True,VIOLATION: Pump ON when range_sensor (20.00) > DESIRED_DISTANCE (10)
1732169489.590709,25.00,True,VIOLATION: Pump ON when range_sensor (25.00) > DESIRED_DISTANCE (10)
1732169489.8932374,30.00,True,VIOLATION: Pump ON when range_sensor (30.00) > DESIRED_DISTANCE (10)
1732169490.4998808,10.50,True,VIOLATION: Pump ON when range_sensor (10.50) > DESIRED_DISTANCE (10)
1732169491.1038148,10.20,True,VIOLATION: Pump ON when range_sensor (10.20) > DESIRED_DISTANCE (10)
1732169491.4059615,10.80,True,VIOLATION: Pump ON when range_sensor (10.80) > DESIRED_DISTANCE (10)
1732169492.0128665,15.00,True,VIOLATION: Pump ON when range_sensor (15.00) > DESIRED_DISTANCE (10)
1732169494.2260723,11.00,True,VIOLATION: Pump ON when range_sensor (11.00) > DESIRED_DISTANCE (10)
1732169494.5287328,12.00,True,VIOLATION: Pump ON when range_sensor (12.00) > DESIRED_DISTANCE (10)
1732169494.8304422,13.00,True,VIOLATION: Pump ON when range_sensor (13.00) > DESIRED_DISTANCE (10)
1732169495.1340632,15.00,True,VIOLATION: Pump ON when range_sensor (15.00) > DESIRED_DISTANCE (10)
1732169495.437362,20.00,True,VIOLATION: Pump ON when range_sensor (20.00) > DESIRED_DISTANCE (10)
1732169495.7412333,25.00,True,VIOLATION: Pump ON when range_sensor (25.00) > DESIRED_DISTANCE (10)
1732169496.0433278,30.00,True,VIOLATION: Pump ON when range_sensor (30.00) > DESIRED_DISTANCE (10)
1732169496.6482854,10.50,True,VIOLATION: Pump ON when range_sensor (10.50) > DESIRED_DISTANCE (10)
1732169497.252412,10.20,True,VIOLATION: Pump ON when range_sensor (10.20) > DESIRED_DISTANCE (10)
1732169497.555261,10.80,True,VIOLATION: Pump ON when range_sensor (10.80) > DESIRED_DISTANCE (10)
1732169498.1618702,15.00,True,VIOLATION: Pump ON when range_sensor (15.00) > DESIRED_DISTANCE (10)
1732169500.3745632,11.00,True,VIOLATION: Pump ON when range_sensor (11.00) > DESIRED_DISTANCE (10)
1732169500.6773639,12.00,True,VIOLATION: Pump ON when range_sensor (12.00) > DESIRED_DISTANCE (10)
1732169500.979699,13.00,True,VIOLATION: Pump ON when range_sensor (13.00) > DESIRED_DISTANCE (10)
1732169501.2831552,15.00,True,VIOLATION: Pump ON when range_sensor (15.00) > DESIRED_DISTANCE (10)
1732169501.5859742,20.00,True,VIOLATION: Pump ON when range_sensor (20.00) > DESIRED_DISTANCE (10)
1732169501.8889315,25.00,True,VIOLATION: Pump ON when range_sensor (25.00) > DESIRED_DISTANCE (10)
1732169502.1907272,30.00,True,VIOLATION: Pump ON when range_sensor (30.00) > DESIRED_DISTANCE (10)
1732169502.7963862,10.50,True,VIOLATION: Pump ON when range_sensor (10.50) > DESIRED_DISTANCE (10)
1732169503.4006174,10.20,True,VIOLATION: Pump ON when range_sensor (10.20) > DESIRED_DISTANCE (10)
1732169503.7031791,10.80,True,VIOLATION: Pump ON when range_sensor (10.80) > DESIRED_DISTANCE (10)
1732169504.3095706,15.00,True,VIOLATION: Pump ON when range_sensor (15.00) > DESIRED_DISTANCE (10)
1732169506.5220077,11.00,True,VIOLATION: Pump ON when range_sensor (11.00) > DESIRED_DISTANCE (10)
1732169506.823962,12.00,True,VIOLATION: Pump ON when range_sensor (12.00) > DESIRED_DISTANCE (10)
1732169507.1261086,13.00,True,VIOLATION: Pump ON when range_sensor (13.00) > DESIRED_DISTANCE (10)
1732169507.429896,15.00,True,VIOLATION: Pump ON when range_sensor (15.00) > DESIRED_DISTANCE (10)
1732169507.7330196,20.00,True,VIOLATION: Pump ON when range_sensor (20.00) > DESIRED_DISTANCE (10)
1732169508.0356922,25.00,True,VIOLATION: Pump ON when range_sensor (25.00) > DESIRED_DISTANCE (10)
1732169508.338397,30.00,True,VIOLATION: Pump ON when range_sensor (30.00) > DESIRED_DISTANCE (10)
1732169508.9437733,10.50,True,VIOLATION: Pump ON when range_sensor (10.50) > DESIRED_DISTANCE (10)
1732169509.5502882,10.20,True,VIOLATION: Pump ON when range_sensor (10.20) > DESIRED_DISTANCE (10)
1732169509.8533156,10.80,True,VIOLATION: Pump ON when range_sensor (10.80) > DESIRED_DISTANCE (10)
1732169510.4597704,15.00,True,VIOLATION: Pump ON when range_sensor (15.00) > DESIRED_DISTANCE (10)
